session,condition,list_length,list_index,trial,study_list,recalled_list,rel_correct,init_correct,last_correct,forget_rate
0,constant,7,0,0,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Hermann,Lorge,Kucera,Streeter,Madigan,Tarka",0,0,0,
0,constant,7,0,1,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Madigan,Lorge,Bickley,Landauer,Battig,Kucera,Paivio",0,0,0,0.8333333333333334
0,constant,7,0,2,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Streeter,DOI,Bickley,Kucera,bigram",0,0,1,0.8571428571428572
0,constant,7,0,3,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Hermann,Joelson,Landauer,DOI",0,0,0,1.0
0,constant,7,0,4,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Yuille,Landauer,Madigan,Streeter,Thorndike,bigram,Tarka",0,0,0,1.0
0,constant,7,0,5,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Joelson,Intersample,Lorge,Landauer,Hermann,Streeter,Tarka",0,0,0,0.8571428571428572
0,constant,7,0,6,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","bigram,Kucera,al",0,0,0,1.0
0,constant,7,0,7,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Battig,al,Landauer,Thorndike,Intersample,DOI,Joelson",0,0,0,1.0
0,constant,7,0,8,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Tarka,DOI,Paivio,Intersample,Landauer,Battig,Lorge",0,0,0,1.0
0,constant,7,0,9,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","DOI,Battig,Kucera,Bickley",0,0,0,1.0
0,constant,7,0,10,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","DOI,Lorge,Landauer,asymptote",0,0,0,0.75
0,constant,7,0,11,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","DOI,Joelson,Battig,Bickley,Intersample,Kucera,Hermann",0,0,0,0.75
0,constant,7,0,12,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Bickley,Madigan,Kucera,DOI,Joelson",0,0,0,1.0
0,constant,7,0,13,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Lorge,Landauer,Streeter,Intersample",0,0,0,1.0
0,constant,7,0,14,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Lorge,Landauer,Tarka,DOI,Paivio,Intersample,Bickley",0,0,0,0.5
0,constant,7,0,15,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Hermann,Intersample,DOI",0,0,0,1.0
0,constant,7,0,16,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Joelson,Tarka,Battig,Madigan,Hermann,Paivio,Bickley",0,0,0,1.0
0,constant,7,0,17,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Battig,Bickley,Kucera,Paivio,Landauer,Hermann,Intersample",0,0,0,1.0
0,constant,7,0,18,"Intersample,Yuille,pronunciability,emotionality,Streeter,Landauer,bigram","Intersample,bigram,Hermann,Bickley,Battig,Paivio,Landauer",0,1,0,1.0
